genome	true_class	top_class	top_p	0	1	2	3	4	5	6	7
G900107465	2	2.0	0.6156265735626221	0.02821371890604496	0.04945477098226547	0.6156265735626221	0.017674444243311882	0.07501015812158585	0.06914430856704712	0.11070484668016434	0.034171298146247864
G000375425	4	4.0	0.3692079484462738	0.039522938430309296	0.04836622625589371	0.28612658381462097	0.04965522140264511	0.3692079484462738	0.09665106981992722	0.057724110782146454	0.052745793014764786
G001636615	3	4.0	0.4877447485923767	0.003358856774866581	0.02197354845702648	0.09494512528181076	0.3566557765007019	0.4877447485923767	0.005812488030642271	0.008178049698472023	0.02133137360215187
G900142465	7	6.0	0.2362138330936432	0.03523647412657738	0.11555974930524826	0.22942675650119781	0.01640290580689907	0.1469600796699524	0.048515185713768005	0.2362138330936432	0.17168501019477844
G000019665	6	0.0	0.3334987759590149	0.3334987759590149	0.13890822231769562	0.09886711090803146	0.008632244542241096	0.054063159972429276	0.041756704449653625	0.17248252034187317	0.1517912745475769
G002010615	7	0.0	0.31994935870170593	0.31994935870170593	0.03667614236474037	0.13778626918792725	0.01815020851790905	0.06240247189998627	0.06866122037172318	0.055173929780721664	0.3012003004550934
G001796105	0	0.0	0.8099693655967712	0.8099693655967712	0.03412272036075592	0.007774431258440018	0.0008092938223853707	0.010622289031744003	0.01641375944018364	0.07623007893562317	0.04405808076262474
G001458575	5	5.0	0.6155284643173218	0.052424151450395584	0.06533816456794739	0.0412198081612587	0.021231427788734436	0.02944219298660755	0.6155284643173218	0.034395962953567505	0.14041975140571594
G900107535	3	4.0	0.6587231159210205	0.010573341511189938	0.029526013880968094	0.13482330739498138	0.09768065810203552	0.6587231159210205	0.019635584205389023	0.02235259860754013	0.026685388758778572
G001802895	5	5.0	0.3893073499202728	0.06054435670375824	0.05598028004169464	0.1068926751613617	0.058326270431280136	0.15270088613033295	0.3893073499202728	0.03546464070677757	0.14078351855278015
G001830315	1	1.0	0.20438414812088013	0.0812087208032608	0.20438414812088013	0.11764302104711533	0.10038138180971146	0.19111815094947815	0.08842489123344421	0.0707436054944992	0.14609608054161072
G001875255	7	6.0	0.439160019159317	0.007533149793744087	0.06767457723617554	0.04247576743364334	0.0018825636943802238	0.2096613645553589	0.057150766253471375	0.439160019159317	0.17446185648441315
G001828445	1	1.0	0.35257795453071594	0.09108110517263412	0.35257795453071594	0.08388304710388184	0.05196814984083176	0.13482841849327087	0.06437800079584122	0.09527353942394257	0.12600967288017273
G000237205	0	0.0	0.7191311120986938	0.7191311120986938	0.029323270544409752	0.08813061565160751	0.007337418384850025	0.023919595405459404	0.04238704591989517	0.05762180685997009	0.03214910253882408
G001897225	0	0.0	0.624119758605957	0.624119758605957	0.05654798820614815	0.0894591212272644	0.03492821753025055	0.03974001482129097	0.044474728405475616	0.044301629066467285	0.06642851233482361
G000379725	2	4.0	0.5276228785514832	0.03438323736190796	0.03062698058784008	0.11493250727653503	0.15229372680187225	0.5276228785514832	0.06746561825275421	0.023343216627836227	0.04933186247944832
G000454725	0	0.0	0.7836521863937378	0.7836521863937378	0.02720937505364418	0.05641143023967743	0.027151020243763924	0.030211346223950386	0.017088456079363823	0.02469448186457157	0.03358181193470955
G001314815	2	2.0	0.7335711121559143	0.05588746443390846	0.029338207095861435	0.7335711121559143	0.012856151908636093	0.041181501001119614	0.043648816645145416	0.06421303749084473	0.019303815439343452
G000204135	0	0.0	0.9610462188720703	0.9610462188720703	0.005357297137379646	0.0076309083960950375	0.00212843157351017	0.004452211782336235	0.0024872934445738792	0.007845407351851463	0.00905212014913559
G001007145	0	0.0	0.9319886565208435	0.9319886565208435	0.00985955074429512	0.018124807626008987	0.0037627476267516613	0.006582584232091904	0.005632299929857254	0.011780249886214733	0.012269185855984688
G000436395	6	6.0	0.8135895133018494	0.001935365842655301	0.02629619836807251	0.0183773934841156	0.0011744252406060696	0.06560493260622025	0.015187108889222145	0.8135895133018494	0.05783503130078316
G001303705	7	6.0	0.38631314039230347	0.01800030842423439	0.2370688021183014	0.015794482082128525	0.0011752459686249495	0.051914628595113754	0.09166067838668823	0.38631314039230347	0.198072612285614
G000243115	4	4.0	0.7814155220985413	0.003425109200179577	0.024662010371685028	0.0734526664018631	0.05352741479873657	0.7814155220985413	0.01055957656353712	0.02229442447423935	0.03066324256360531
G001803165	5	5.0	0.40413716435432434	0.07239869982004166	0.05858887732028961	0.0907469317317009	0.05938855931162834	0.13433633744716644	0.40413716435432434	0.041479095816612244	0.13892434537410736
G001462255	7	1.0	0.37170517444610596	0.00952126830816269	0.37170517444610596	0.04373208433389664	0.01230296678841114	0.02868124097585678	0.04089975357055664	0.14126534759998322	0.3518922030925751
G001707835	1	6.0	0.3685007691383362	0.013633579947054386	0.2542503774166107	0.12329961359500885	0.004229590762406588	0.12632332742214203	0.07729882746934891	0.3685007691383362	0.032463960349559784
G001462315	7	7.0	0.28260907530784607	0.025308474898338318	0.17231839895248413	0.14144209027290344	0.010209005326032639	0.07343326508998871	0.0441630482673645	0.2505166530609131	0.28260907530784607
G000016085	4	4.0	0.37246835231781006	0.018365150317549706	0.06337746232748032	0.1230064406991005	0.003942037932574749	0.37246835231781006	0.05169212818145752	0.28991246223449707	0.07723591476678848
